location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,2021-01-08,18-24,0.12,0.0
Austria,2021-01-08,25-49,0.39,0.0
Austria,2021-01-08,50-59,0.54,0.0
Austria,2021-01-08,60-69,0.32,0.0
Austria,2021-01-08,70-79,0.27,0.0
Austria,2021-01-08,80+,1.23,0.0
Austria,2021-01-15,18-24,0.44,0.0
Austria,2021-01-15,25-49,1.18,0.0
Austria,2021-01-15,50-59,1.81,0.01
Austria,2021-01-15,60-69,1.3,0.0
Austria,2021-01-15,70-79,1.29,0.01
Austria,2021-01-15,80+,6.04,0.02
Austria,2021-01-22,18-24,0.87,0.01
Austria,2021-01-22,25-49,2.16,0.04
Austria,2021-01-22,50-59,3.14,0.07
Austria,2021-01-22,60-69,2.11,0.05
Austria,2021-01-22,70-79,2.14,0.07
Austria,2021-01-22,80+,11.71,0.31
Austria,2021-01-29,18-24,1.03,0.1
Austria,2021-01-29,25-49,2.46,0.24
Austria,2021-01-29,50-59,3.54,0.36
Austria,2021-01-29,60-69,2.37,0.25
Austria,2021-01-29,70-79,2.35,0.22
Austria,2021-01-29,80+,14.08,1.03
Austria,2021-02-05,18-24,1.15,0.4
Austria,2021-02-05,25-49,2.68,1.06
Austria,2021-02-05,50-59,3.85,1.6
Austria,2021-02-05,60-69,2.56,1.13
Austria,2021-02-05,70-79,2.5,1.08
Austria,2021-02-05,80+,14.89,5.08
Austria,2021-02-12,18-24,1.52,0.8
Austria,2021-02-12,25-49,3.04,2.0
Austria,2021-02-12,50-59,4.3,2.9
Austria,2021-02-12,60-69,2.83,1.93
Austria,2021-02-12,70-79,2.71,1.86
Austria,2021-02-12,80+,15.81,10.26
Austria,2021-02-19,18-24,2.0,0.99
Austria,2021-02-19,25-49,3.71,2.35
Austria,2021-02-19,50-59,5.14,3.39
Austria,2021-02-19,60-69,3.33,2.24
Austria,2021-02-19,70-79,3.03,2.23
Austria,2021-02-19,80+,20.12,13.34
Austria,2021-02-26,18-24,2.95,1.12
Austria,2021-02-26,25-49,4.79,2.61
Austria,2021-02-26,50-59,6.44,3.76
Austria,2021-02-26,60-69,4.2,2.51
Austria,2021-02-26,70-79,3.52,2.4
Austria,2021-02-26,80+,27.74,14.01
Austria,2021-03-05,18-24,3.73,1.2
Austria,2021-03-05,25-49,5.87,2.75
Austria,2021-03-05,50-59,7.9,3.96
Austria,2021-03-05,60-69,5.32,2.66
Austria,2021-03-05,70-79,4.57,2.55
Austria,2021-03-05,80+,43.79,14.94
Austria,2021-03-12,18-24,5.12,1.24
Austria,2021-03-12,25-49,7.91,2.88
Austria,2021-03-12,50-59,10.4,4.16
Austria,2021-03-12,60-69,8.11,2.84
Austria,2021-03-12,70-79,8.14,2.83
Austria,2021-03-12,80+,57.38,19.1
Austria,2021-03-19,18-24,5.82,1.29
Austria,2021-03-19,25-49,9.25,2.99
Austria,2021-03-19,50-59,12.39,4.33
Austria,2021-03-19,60-69,10.98,3.09
Austria,2021-03-19,70-79,13.8,3.24
Austria,2021-03-19,80+,66.74,26.68
Austria,2021-03-26,18-24,6.46,1.37
Austria,2021-03-26,25-49,10.46,3.12
Austria,2021-03-26,50-59,14.21,4.62
Austria,2021-03-26,60-69,13.37,3.58
Austria,2021-03-26,70-79,18.99,4.01
Austria,2021-03-26,80+,71.78,42.13
Austria,2021-04-02,18-24,6.82,1.49
Austria,2021-04-02,25-49,11.03,3.29
Austria,2021-04-02,50-59,15.23,4.92
Austria,2021-04-02,60-69,15.02,4.21
Austria,2021-04-02,70-79,26.93,5.5
Austria,2021-04-02,80+,78.31,53.16
Austria,2021-04-09,18-24,7.15,2.21
Austria,2021-04-09,25-49,11.6,4.16
Austria,2021-04-09,50-59,16.34,6.09
Austria,2021-04-09,60-69,19.75,5.99
Austria,2021-04-09,70-79,40.44,9.04
Austria,2021-04-09,80+,84.08,62.45
Austria,2021-04-16,18-24,7.64,2.55
Austria,2021-04-16,25-49,12.7,4.66
Austria,2021-04-16,50-59,18.53,6.94
Austria,2021-04-16,60-69,27.7,7.61
Austria,2021-04-16,70-79,54.52,13.12
Austria,2021-04-16,80+,88.14,66.63
Austria,2021-04-23,18-24,8.52,2.71
Austria,2021-04-23,25-49,14.44,4.91
Austria,2021-04-23,50-59,22.28,7.34
Austria,2021-04-23,60-69,37.47,8.27
Austria,2021-04-23,70-79,63.76,15.47
Austria,2021-04-23,80+,90.11,70.9
Austria,2021-04-30,18-24,9.73,2.98
Austria,2021-04-30,25-49,16.34,5.23
Austria,2021-04-30,50-59,27.06,7.79
Austria,2021-04-30,60-69,48.95,9.33
Austria,2021-04-30,70-79,67.96,19.81
Austria,2021-04-30,80+,91.37,72.28
Austria,2021-05-07,18-24,11.69,3.56
Austria,2021-05-07,25-49,19.54,5.96
Austria,2021-05-07,50-59,34.16,8.8
Austria,2021-05-07,60-69,57.69,11.51
Austria,2021-05-07,70-79,71.52,26.37
Austria,2021-05-07,80+,92.86,74.39
Austria,2021-05-14,18-24,13.99,4.28
Austria,2021-05-14,25-49,23.02,6.9
Austria,2021-05-14,50-59,42.08,10.06
Austria,2021-05-14,60-69,64.11,13.75
Austria,2021-05-14,70-79,73.5,30.42
Austria,2021-05-14,80+,93.84,75.67
Austria,2021-05-21,18-24,16.8,5.37
Austria,2021-05-21,25-49,28.04,8.43
Austria,2021-05-21,50-59,49.2,12.33
Austria,2021-05-21,60-69,70.71,17.79
Austria,2021-05-21,70-79,75.48,36.29
Austria,2021-05-21,80+,94.94,79.73
Austria,2021-05-28,18-24,19.6,6.68
Austria,2021-05-28,25-49,32.28,10.7
Austria,2021-05-28,50-59,53.65,15.81
Austria,2021-05-28,60-69,73.88,23.28
Austria,2021-05-28,70-79,76.52,42.84
Austria,2021-05-28,80+,95.59,82.31
Austria,2021-06-04,18-24,23.95,8.26
Austria,2021-06-04,25-49,37.77,13.29
Austria,2021-06-04,50-59,58.76,19.99
Austria,2021-06-04,60-69,76.36,31.19
Austria,2021-06-04,70-79,77.46,49.76
Austria,2021-06-04,80+,96.22,83.81
Austria,2021-06-11,18-24,29.31,10.08
Austria,2021-06-11,25-49,42.94,16.55
Austria,2021-06-11,50-59,63.57,26.25
Austria,2021-06-11,60-69,77.85,42.17
Austria,2021-06-11,70-79,78.19,54.41
Austria,2021-06-11,80+,96.75,86.3
Austria,2021-06-18,18-24,34.05,12.4
Austria,2021-06-18,25-49,47.57,20.05
Austria,2021-06-18,50-59,66.45,33.02
Austria,2021-06-18,60-69,79.22,51.16
Austria,2021-06-18,70-79,78.93,58.91
Austria,2021-06-18,80+,97.31,88.48
Austria,2021-06-25,18-24,38.45,15.11
Austria,2021-06-25,25-49,51.53,24.41
Austria,2021-06-25,50-59,67.97,42.22
Austria,2021-06-25,60-69,80.15,58.16
Austria,2021-06-25,70-79,79.48,64.97
Austria,2021-06-25,80+,97.73,90.52
Austria,2021-07-02,18-24,43.18,19.78
Austria,2021-07-02,25-49,54.89,30.04
Austria,2021-07-02,50-59,69.44,49.45
Austria,2021-07-02,60-69,81.08,65.93
Austria,2021-07-02,70-79,80.06,71.57
Austria,2021-07-02,80+,98.17,92.04
Austria,2021-07-09,18-24,48.08,24.72
Austria,2021-07-09,25-49,57.21,35.84
Austria,2021-07-09,50-59,70.56,54.87
Austria,2021-07-09,60-69,81.88,70.62
Austria,2021-07-09,70-79,80.53,74.64
Austria,2021-07-09,80+,98.53,93.07
Austria,2021-07-16,18-24,50.5,29.55
Austria,2021-07-16,25-49,58.64,41.34
Austria,2021-07-16,50-59,71.53,59.64
Austria,2021-07-16,60-69,82.61,74.48
Austria,2021-07-16,70-79,80.99,76.19
Austria,2021-07-16,80+,98.89,93.91
Austria,2021-07-23,18-24,52.54,35.03
Austria,2021-07-23,25-49,59.96,46.17
Austria,2021-07-23,50-59,72.41,64.09
Austria,2021-07-23,60-69,83.27,76.75
Austria,2021-07-23,70-79,81.42,77.18
Austria,2021-07-23,80+,99.25,94.6
Austria,2021-07-30,18-24,53.72,40.23
Austria,2021-07-30,25-49,60.71,50.57
Austria,2021-07-30,50-59,72.92,66.69
Austria,2021-07-30,60-69,83.7,78.65
Austria,2021-07-30,70-79,81.71,78.03
Austria,2021-07-30,80+,99.52,95.21
Austria,2021-08-06,18-24,54.83,44.43
Austria,2021-08-06,25-49,61.46,54.43
Austria,2021-08-06,50-59,73.47,68.57
Austria,2021-08-06,60-69,84.13,80.08
Austria,2021-08-06,70-79,82.01,78.78
Austria,2021-08-06,80+,99.77,95.74
Austria,2021-08-13,18-24,55.55,47.76
Austria,2021-08-13,25-49,61.96,56.85
Austria,2021-08-13,50-59,73.84,69.8
Austria,2021-08-13,60-69,84.43,81.01
Austria,2021-08-13,70-79,82.22,79.38
Austria,2021-08-13,80+,99.96,96.2
Austria,2021-08-20,18-24,56.38,51.14
Austria,2021-08-20,25-49,62.58,58.47
Austria,2021-08-20,50-59,74.28,70.79
Austria,2021-08-20,60-69,84.77,81.77
Austria,2021-08-20,70-79,82.45,79.86
Austria,2021-08-20,80+,100.19,96.56
Austria,2021-08-27,18-24,57.27,52.51
Austria,2021-08-27,25-49,63.21,59.37
Austria,2021-08-27,50-59,74.73,71.37
Austria,2021-08-27,60-69,85.12,82.22
Austria,2021-08-27,70-79,82.69,80.17
Austria,2021-08-27,80+,100.42,96.82
Austria,2021-09-03,18-24,58.21,53.54
Austria,2021-09-03,25-49,63.87,60.08
Austria,2021-09-03,50-59,75.17,71.85
Austria,2021-09-03,60-69,85.45,82.61
Austria,2021-09-03,70-79,82.92,80.42
Austria,2021-09-03,80+,100.63,97.06
Austria,2021-09-10,18-24,59.26,54.45
Austria,2021-09-10,25-49,64.62,60.75
Austria,2021-09-10,50-59,75.64,72.28
Austria,2021-09-10,60-69,85.8,82.94
Austria,2021-09-10,70-79,83.15,80.65
Austria,2021-09-10,80+,100.87,97.29
Austria,2021-09-17,18-24,60.41,55.37
Austria,2021-09-17,25-49,65.46,61.41
Austria,2021-09-17,50-59,76.17,72.7
Austria,2021-09-17,60-69,86.18,83.27
Austria,2021-09-17,70-79,83.4,80.87
Austria,2021-09-17,80+,101.15,97.51
Austria,2021-09-24,18-24,61.5,56.31
Austria,2021-09-24,25-49,66.24,62.07
Austria,2021-09-24,50-59,76.66,73.14
Austria,2021-09-24,60-69,86.53,83.58
Austria,2021-09-24,70-79,83.65,81.09
Austria,2021-09-24,80+,101.44,97.75
Austria,2021-10-01,18-24,62.37,57.15
Austria,2021-10-01,25-49,66.83,62.64
Austria,2021-10-01,50-59,77.03,73.48
Austria,2021-10-01,60-69,86.79,83.84
Austria,2021-10-01,70-79,83.83,81.27
Austria,2021-10-01,80+,101.68,97.94
Belgium,2021-01-08,18-24,0.04,0.0
Belgium,2021-01-08,25-49,0.11,0.0
Belgium,2021-01-08,50-59,0.16,0.0
Belgium,2021-01-08,60-69,0.17,0.0
Belgium,2021-01-08,70-79,0.37,0.0
Belgium,2021-01-08,80+,2.3,0.0
Belgium,2021-01-15,18-24,0.24,0.0
Belgium,2021-01-15,25-49,0.52,0.0
Belgium,2021-01-15,50-59,0.75,0.0
Belgium,2021-01-15,60-69,0.71,0.0
Belgium,2021-01-15,70-79,1.57,0.0
Belgium,2021-01-15,80+,10.51,0.0
Belgium,2021-01-22,18-24,0.99,0.0
Belgium,2021-01-22,25-49,1.63,0.0
Belgium,2021-01-22,50-59,2.04,0.01
Belgium,2021-01-22,60-69,1.62,0.01
Belgium,2021-01-22,70-79,2.61,0.01
Belgium,2021-01-22,80+,15.15,0.07
Belgium,2021-01-29,18-24,1.53,0.04
Belgium,2021-01-29,25-49,2.38,0.11
Belgium,2021-01-29,50-59,2.89,0.16
Belgium,2021-01-29,60-69,2.16,0.16
Belgium,2021-01-29,70-79,3.03,0.35
Belgium,2021-01-29,80+,16.41,2.14
Belgium,2021-02-05,18-24,1.82,0.23
Belgium,2021-02-05,25-49,2.91,0.51
Belgium,2021-02-05,50-59,3.49,0.73
Belgium,2021-02-05,60-69,2.54,0.69
Belgium,2021-02-05,70-79,3.26,1.5
Belgium,2021-02-05,80+,17.04,9.96
Belgium,2021-02-12,18-24,2.02,0.92
Belgium,2021-02-12,25-49,3.31,1.5
Belgium,2021-02-12,50-59,4.0,1.91
Belgium,2021-02-12,60-69,2.85,1.55
Belgium,2021-02-12,70-79,3.4,2.51
Belgium,2021-02-12,80+,17.35,14.46
Belgium,2021-02-19,18-24,2.46,1.47
Belgium,2021-02-19,25-49,4.01,2.27
Belgium,2021-02-19,50-59,4.73,2.78
Belgium,2021-02-19,60-69,3.18,2.09
Belgium,2021-02-19,70-79,3.54,2.93
Belgium,2021-02-19,80+,17.5,15.71
Belgium,2021-02-26,18-24,3.18,1.72
Belgium,2021-02-26,25-49,5.37,2.7
Belgium,2021-02-26,50-59,6.14,3.26
Belgium,2021-02-26,60-69,3.65,2.41
Belgium,2021-02-26,70-79,3.71,3.15
Belgium,2021-02-26,80+,17.62,16.39
Belgium,2021-03-05,18-24,4.39,1.92
Belgium,2021-03-05,25-49,7.27,3.11
Belgium,2021-03-05,50-59,8.11,3.75
Belgium,2021-03-05,60-69,4.61,2.7
Belgium,2021-03-05,70-79,4.35,3.28
Belgium,2021-03-05,80+,18.74,16.69
Belgium,2021-03-12,18-24,5.49,2.32
Belgium,2021-03-12,25-49,8.84,3.72
Belgium,2021-03-12,50-59,9.81,4.46
Belgium,2021-03-12,60-69,6.29,3.11
Belgium,2021-03-12,70-79,6.03,3.44
Belgium,2021-03-12,80+,20.78,16.86
Belgium,2021-03-19,18-24,6.47,2.82
Belgium,2021-03-19,25-49,9.84,4.46
Belgium,2021-03-19,50-59,11.28,5.36
Belgium,2021-03-19,60-69,8.63,3.58
Belgium,2021-03-19,70-79,11.3,3.61
Belgium,2021-03-19,80+,33.96,17.03
Belgium,2021-03-26,18-24,7.01,3.34
Belgium,2021-03-26,25-49,10.48,5.16
Belgium,2021-03-26,50-59,12.17,6.31
Belgium,2021-03-26,60-69,10.47,4.28
Belgium,2021-03-26,70-79,18.54,4.1
Belgium,2021-03-26,80+,51.61,18.03
Belgium,2021-04-02,18-24,7.39,3.81
Belgium,2021-04-02,25-49,11.0,5.69
Belgium,2021-04-02,50-59,12.88,7.2
Belgium,2021-04-02,60-69,12.44,5.38
Belgium,2021-04-02,70-79,26.48,4.94
Belgium,2021-04-02,80+,73.7,19.03
Belgium,2021-04-09,18-24,7.72,4.07
Belgium,2021-04-09,25-49,11.44,6.02
Belgium,2021-04-09,50-59,13.71,7.64
Belgium,2021-04-09,60-69,17.42,6.01
Belgium,2021-04-09,70-79,52.44,6.31
Belgium,2021-04-09,80+,80.76,21.39
Belgium,2021-04-16,18-24,8.2,4.26
Belgium,2021-04-16,25-49,11.85,6.26
Belgium,2021-04-16,50-59,15.29,7.97
Belgium,2021-04-16,60-69,25.24,6.62
Belgium,2021-04-16,70-79,77.78,8.33
Belgium,2021-04-16,80+,83.18,28.95
Belgium,2021-04-23,18-24,8.75,4.39
Belgium,2021-04-23,25-49,12.47,6.42
Belgium,2021-04-23,50-59,18.97,8.15
Belgium,2021-04-23,60-69,40.59,6.97
Belgium,2021-04-23,70-79,88.22,9.21
Belgium,2021-04-23,80+,84.35,29.63
Belgium,2021-04-30,18-24,9.36,4.6
Belgium,2021-04-30,25-49,13.32,6.7
Belgium,2021-04-30,50-59,23.88,8.58
Belgium,2021-04-30,60-69,57.43,8.07
Belgium,2021-04-30,70-79,89.99,12.88
Belgium,2021-04-30,80+,85.41,32.7
Belgium,2021-05-07,18-24,10.0,4.92
Belgium,2021-05-07,25-49,15.66,7.18
Belgium,2021-05-07,50-59,32.79,9.48
Belgium,2021-05-07,60-69,75.21,10.31
Belgium,2021-05-07,70-79,91.45,20.26
Belgium,2021-05-07,80+,86.66,51.59
Belgium,2021-05-14,18-24,10.67,5.31
Belgium,2021-05-14,25-49,18.66,7.73
Belgium,2021-05-14,50-59,41.12,10.44
Belgium,2021-05-14,60-69,79.3,12.93
Belgium,2021-05-14,70-79,92.31,40.09
Belgium,2021-05-14,80+,87.34,56.69
Belgium,2021-05-21,18-24,11.32,6.36
Belgium,2021-05-21,25-49,22.84,9.29
Belgium,2021-05-21,50-59,56.59,13.02
Belgium,2021-05-21,60-69,82.15,19.18
Belgium,2021-05-21,70-79,92.95,52.4
Belgium,2021-05-21,80+,88.01,58.75
Belgium,2021-05-28,18-24,12.25,7.56
Belgium,2021-05-28,25-49,26.85,11.38
Belgium,2021-05-28,50-59,60.41,17.81
Belgium,2021-05-28,60-69,84.0,31.29
Belgium,2021-05-28,70-79,93.26,60.55
Belgium,2021-05-28,80+,88.36,60.18
Belgium,2021-06-04,18-24,14.35,8.7
Belgium,2021-06-04,25-49,32.91,13.77
Belgium,2021-06-04,50-59,71.62,23.23
Belgium,2021-06-04,60-69,89.07,46.28
Belgium,2021-06-04,70-79,93.69,62.94
Belgium,2021-06-04,80+,88.81,62.49
Belgium,2021-06-11,18-24,17.36,9.93
Belgium,2021-06-11,25-49,41.02,16.83
Belgium,2021-06-11,50-59,83.2,32.47
Belgium,2021-06-11,60-69,90.42,60.64
Belgium,2021-06-11,70-79,94.03,67.34
Belgium,2021-06-11,80+,89.14,73.37
Belgium,2021-06-18,18-24,24.28,11.08
Belgium,2021-06-18,25-49,56.35,20.89
Belgium,2021-06-18,50-59,85.71,39.07
Belgium,2021-06-18,60-69,90.97,64.75
Belgium,2021-06-18,70-79,94.3,70.61
Belgium,2021-06-18,80+,89.42,80.73
Belgium,2021-06-25,18-24,37.81,14.07
Belgium,2021-06-25,25-49,67.82,24.5
Belgium,2021-06-25,50-59,86.49,44.43
Belgium,2021-06-25,60-69,91.3,67.05
Belgium,2021-06-25,70-79,94.51,73.21
Belgium,2021-06-25,80+,89.62,84.37
Belgium,2021-07-02,18-24,51.73,16.28
Belgium,2021-07-02,25-49,74.15,28.13
Belgium,2021-07-02,50-59,86.97,48.38
Belgium,2021-07-02,60-69,91.55,70.72
Belgium,2021-07-02,70-79,94.67,77.42
Belgium,2021-07-02,80+,89.76,86.03
Belgium,2021-07-09,18-24,61.58,19.24
Belgium,2021-07-09,25-49,75.48,34.82
Belgium,2021-07-09,50-59,87.34,59.5
Belgium,2021-07-09,60-69,91.8,79.56
Belgium,2021-07-09,70-79,94.88,90.13
Belgium,2021-07-09,80+,89.94,87.07
Belgium,2021-07-16,18-24,67.65,23.24
Belgium,2021-07-16,25-49,76.53,42.74
Belgium,2021-07-16,50-59,87.78,73.29
Belgium,2021-07-16,60-69,92.13,84.05
Belgium,2021-07-16,70-79,95.17,92.68
Belgium,2021-07-16,80+,90.18,87.58
Belgium,2021-07-23,18-24,69.69,30.88
Belgium,2021-07-23,25-49,77.18,55.62
Belgium,2021-07-23,50-59,88.15,77.71
Belgium,2021-07-23,60-69,92.37,87.26
Belgium,2021-07-23,70-79,95.36,93.43
Belgium,2021-07-23,80+,90.35,87.98
Belgium,2021-07-30,18-24,70.94,42.32
Belgium,2021-07-30,25-49,77.78,66.33
Belgium,2021-07-30,50-59,88.47,80.77
Belgium,2021-07-30,60-69,92.59,90.29
Belgium,2021-07-30,70-79,95.51,93.99
Belgium,2021-07-30,80+,90.48,88.35
Belgium,2021-08-06,18-24,72.12,54.45
Belgium,2021-08-06,25-49,78.43,72.92
Belgium,2021-08-06,50-59,88.8,83.12
Belgium,2021-08-06,60-69,92.8,91.19
Belgium,2021-08-06,70-79,95.65,94.4
Belgium,2021-08-06,80+,90.58,88.6
Belgium,2021-08-13,18-24,73.05,63.08
Belgium,2021-08-13,25-49,79.0,75.48
Belgium,2021-08-13,50-59,89.07,87.37
Belgium,2021-08-13,60-69,92.95,91.92
Belgium,2021-08-13,70-79,95.76,94.71
Belgium,2021-08-13,80+,90.67,88.8
Belgium,2021-08-20,18-24,73.82,68.16
Belgium,2021-08-20,25-49,79.5,76.55
Belgium,2021-08-20,50-59,89.25,87.86
Belgium,2021-08-20,60-69,93.05,92.16
Belgium,2021-08-20,70-79,95.84,94.86
Belgium,2021-08-20,80+,90.73,88.92
Belgium,2021-08-27,18-24,74.6,70.35
Belgium,2021-08-27,25-49,79.97,77.4
Belgium,2021-08-27,50-59,89.41,88.28
Belgium,2021-08-27,60-69,93.14,92.39
Belgium,2021-08-27,70-79,95.9,95.04
Belgium,2021-08-27,80+,90.79,89.05
Belgium,2021-09-03,18-24,75.41,71.64
Belgium,2021-09-03,25-49,80.43,78.1
Belgium,2021-09-03,50-59,89.56,88.59
Belgium,2021-09-03,60-69,93.22,92.55
Belgium,2021-09-03,70-79,95.96,95.15
Belgium,2021-09-03,80+,90.83,89.13
Belgium,2021-09-10,18-24,76.05,72.54
Belgium,2021-09-10,25-49,80.8,78.64
Belgium,2021-09-10,50-59,89.69,88.8
Belgium,2021-09-10,60-69,93.29,92.66
Belgium,2021-09-10,70-79,96.01,95.23
Belgium,2021-09-10,80+,90.87,89.18
Belgium,2021-09-17,18-24,76.66,73.39
Belgium,2021-09-17,25-49,81.13,79.17
Belgium,2021-09-17,50-59,89.81,88.99
Belgium,2021-09-17,60-69,93.36,92.75
Belgium,2021-09-17,70-79,96.06,95.3
Belgium,2021-09-17,80+,90.91,89.23
Belgium,2021-09-24,18-24,77.33,74.22
Belgium,2021-09-24,25-49,81.48,79.66
Belgium,2021-09-24,50-59,89.96,89.17
Belgium,2021-09-24,60-69,93.45,92.85
Belgium,2021-09-24,70-79,96.12,95.37
Belgium,2021-09-24,80+,90.95,89.27
Belgium,2021-10-01,18-24,77.52,74.54
Belgium,2021-10-01,25-49,81.58,79.84
Belgium,2021-10-01,50-59,90.0,89.22
Belgium,2021-10-01,60-69,93.47,92.88
Belgium,2021-10-01,70-79,96.13,95.38
Belgium,2021-10-01,80+,90.96,89.29
Bulgaria,2021-01-08,18-24,0.04,0.0
Bulgaria,2021-01-08,25-49,0.18,0.0
Bulgaria,2021-01-08,50-59,0.46,0.0
Bulgaria,2021-01-08,60-69,0.39,0.0
Bulgaria,2021-01-08,70-79,0.12,0.0
Bulgaria,2021-01-08,80+,0.04,0.0
Bulgaria,2021-01-15,18-24,0.05,0.0
Bulgaria,2021-01-15,25-49,0.24,0.0
Bulgaria,2021-01-15,50-59,0.62,0.0
Bulgaria,2021-01-15,60-69,0.53,0.0
Bulgaria,2021-01-15,70-79,0.17,0.0
Bulgaria,2021-01-15,80+,0.06,0.0
Bulgaria,2021-01-22,18-24,0.06,0.01
Bulgaria,2021-01-22,25-49,0.29,0.06
Bulgaria,2021-01-22,50-59,0.72,0.17
Bulgaria,2021-01-22,60-69,0.63,0.13
Bulgaria,2021-01-22,70-79,0.2,0.04
Bulgaria,2021-01-22,80+,0.07,0.01
Bulgaria,2021-01-29,18-24,0.07,0.04
Bulgaria,2021-01-29,25-49,0.37,0.17
Bulgaria,2021-01-29,50-59,0.91,0.45
Bulgaria,2021-01-29,60-69,0.82,0.38
Bulgaria,2021-01-29,70-79,0.29,0.12
Bulgaria,2021-01-29,80+,0.12,0.04
Bulgaria,2021-02-05,18-24,0.1,0.05
Bulgaria,2021-02-05,25-49,0.51,0.23
Bulgaria,2021-02-05,50-59,1.29,0.59
Bulgaria,2021-02-05,60-69,1.13,0.51
Bulgaria,2021-02-05,70-79,0.42,0.16
Bulgaria,2021-02-05,80+,0.31,0.05
Bulgaria,2021-02-12,18-24,0.13,0.06
Bulgaria,2021-02-12,25-49,0.75,0.27
Bulgaria,2021-02-12,50-59,1.8,0.69
Bulgaria,2021-02-12,60-69,1.47,0.61
Bulgaria,2021-02-12,70-79,0.52,0.2
Bulgaria,2021-02-12,80+,0.41,0.06
Bulgaria,2021-02-19,18-24,0.32,0.07
Bulgaria,2021-02-19,25-49,1.37,0.35
Bulgaria,2021-02-19,50-59,2.88,0.88
Bulgaria,2021-02-19,60-69,2.29,0.79
Bulgaria,2021-02-19,70-79,0.95,0.28
Bulgaria,2021-02-19,80+,0.71,0.12
Bulgaria,2021-02-26,18-24,0.71,0.09
Bulgaria,2021-02-26,25-49,2.28,0.48
Bulgaria,2021-02-26,50-59,4.57,1.21
Bulgaria,2021-02-26,60-69,4.52,1.07
Bulgaria,2021-02-26,70-79,3.4,0.4
Bulgaria,2021-02-26,80+,2.07,0.28
Bulgaria,2021-03-05,18-24,0.96,0.11
Bulgaria,2021-03-05,25-49,2.86,0.66
Bulgaria,2021-03-05,50-59,5.73,1.66
Bulgaria,2021-03-05,60-69,6.38,1.4
Bulgaria,2021-03-05,70-79,5.64,0.5
Bulgaria,2021-03-05,80+,3.29,0.39
Bulgaria,2021-03-12,18-24,1.15,0.14
Bulgaria,2021-03-12,25-49,3.28,0.78
Bulgaria,2021-03-12,50-59,6.5,1.92
Bulgaria,2021-03-12,60-69,7.53,1.61
Bulgaria,2021-03-12,70-79,7.04,0.59
Bulgaria,2021-03-12,80+,4.14,0.45
Bulgaria,2021-03-19,18-24,1.26,0.2
Bulgaria,2021-03-19,25-49,3.56,0.96
Bulgaria,2021-03-19,50-59,6.92,2.25
Bulgaria,2021-03-19,60-69,7.9,1.95
Bulgaria,2021-03-19,70-79,7.31,0.82
Bulgaria,2021-03-19,80+,4.31,0.56
Bulgaria,2021-03-26,18-24,1.58,0.29
Bulgaria,2021-03-26,25-49,4.25,1.18
Bulgaria,2021-03-26,50-59,7.93,2.66
Bulgaria,2021-03-26,60-69,9.11,2.42
Bulgaria,2021-03-26,70-79,8.6,1.15
Bulgaria,2021-03-26,80+,5.08,0.69
Bulgaria,2021-04-02,18-24,1.94,0.36
Bulgaria,2021-04-02,25-49,5.0,1.37
Bulgaria,2021-04-02,50-59,9.0,2.97
Bulgaria,2021-04-02,60-69,10.38,2.71
Bulgaria,2021-04-02,70-79,10.0,1.38
Bulgaria,2021-04-02,80+,5.99,0.83
Bulgaria,2021-04-09,18-24,2.23,0.43
Bulgaria,2021-04-09,25-49,5.6,1.58
Bulgaria,2021-04-09,50-59,9.94,3.29
Bulgaria,2021-04-09,60-69,11.9,2.98
Bulgaria,2021-04-09,70-79,11.91,1.56
Bulgaria,2021-04-09,80+,7.24,0.93
Bulgaria,2021-04-16,18-24,2.48,0.52
Bulgaria,2021-04-16,25-49,6.16,1.83
Bulgaria,2021-04-16,50-59,10.8,3.68
Bulgaria,2021-04-16,60-69,13.25,3.31
Bulgaria,2021-04-16,70-79,13.56,1.78
Bulgaria,2021-04-16,80+,8.3,1.08
Bulgaria,2021-04-23,18-24,2.76,0.71
Bulgaria,2021-04-23,25-49,6.78,2.37
Bulgaria,2021-04-23,50-59,11.67,4.49
Bulgaria,2021-04-23,60-69,14.49,4.11
Bulgaria,2021-04-23,70-79,15.02,2.47
Bulgaria,2021-04-23,80+,9.21,1.5
Bulgaria,2021-04-30,18-24,3.14,0.95
Bulgaria,2021-04-30,25-49,7.43,3.02
Bulgaria,2021-04-30,50-59,12.56,5.54
Bulgaria,2021-04-30,60-69,15.68,5.43
Bulgaria,2021-04-30,70-79,16.33,3.93
Bulgaria,2021-04-30,80+,10.07,2.38
Bulgaria,2021-05-07,18-24,3.58,1.3
Bulgaria,2021-05-07,25-49,7.98,3.8
Bulgaria,2021-05-07,50-59,13.23,6.95
Bulgaria,2021-05-07,60-69,16.53,7.56
Bulgaria,2021-05-07,70-79,17.22,6.39
Bulgaria,2021-05-07,80+,10.62,3.8
Bulgaria,2021-05-14,18-24,4.04,1.83
Bulgaria,2021-05-14,25-49,8.69,5.07
Bulgaria,2021-05-14,50-59,14.19,9.14
Bulgaria,2021-05-14,60-69,17.87,10.89
Bulgaria,2021-05-14,70-79,18.85,10.57
Bulgaria,2021-05-14,80+,11.7,6.39
Bulgaria,2021-05-21,18-24,4.48,2.36
Bulgaria,2021-05-21,25-49,9.37,6.09
Bulgaria,2021-05-21,50-59,15.14,10.72
